,Guest House,Place,room,bed,Condition,price,Travel Sustainable Level,Rating,Total Reviews
4138,Be Italian Flat Piazza Bovio 22,"Port of Naples, Naples",Deluxe Double Room,"2 beds (1 single, 1 large double)",Fabulous,US$90,,8.8,317 reviews
4139,Luce,Lucca,King Room with Private Bathroom,"3 beds (2 singles, 1 extra-large double)",Superb,US$50,Travel Sustainable Level 1,9.0,515 reviews
4140,Rozzano Humanitas Forum IEO,Rozzano,Twin Room with Shared Bathroom,2 single beds,Fabulous,US$69,,8.9,60 reviews
4141,Mamamia al Politeama,"Ruggero Settimo, Palermo",Double Room with Shared Bathroom,1 large double bed,Very good,US$37,,8.5,253 reviews
4142,The Colours Of Rome,"Vaticano Prati, Rome",Standard Double Room,1 large double bed,Fabulous,US$111,,8.8,453 reviews
4143,Dimorra Boutique Rooms,"Port of Naples, Naples",Standard Double Room,1 large double bed,Good,US$45,,7.8,395 reviews
4144,Relais Tosinghi,"Duomo, Florence",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,US$182,,8.9,492 reviews
4145,Casa D'amore,Riomaggiore,Family Room with Private Bathroom,"3 beds (2 sofa beds, 1 large double)",Very good,US$192,,8.3,153 reviews
4146,Civico36,Passignano sul Trasimeno,Double Room with Lake View,1 large double bed,Good,US$75,,7.8,281 reviews
4147,Palazzo Panzani,"San Lorenzo, Florence",Standard Single Room with Shared Bathroom,1 single bed,Review score,US$37,,6.4,127 reviews
4148,La Bella Verona Ugolini,"Verona Historical Centre, Verona",Standard Double Room,1 large double bed,Superb,US$147,,9.0,362 reviews
4149,Aparthotel San Gregorio 45,"Stazione Centrale, Milan",Deluxe Double Room with Balcony,1 large double bed,Very good,US$128,,8.3,"1,337 reviews"
4150,Colonna 32,"Vaticano Prati, Rome",Superior Double Room,Beds: 1 double or 2 singles,Fabulous,US$227,,8.9,411 reviews
4151,Palermo Gallery,"Ruggero Settimo, Palermo",Double Room,1 extra-large double bed,Superb,US$103,,9.0,537 reviews
4152,Blunotte Potenza,Potenza,Double Room with Private Bathroom,1 large double bed,Fabulous,US$53,,8.9,272 reviews
4153,Al Piccolo Scoglio - Room & Breakfast,Camogli,Double Room,1 extra-large double bed,Fabulous,US$90,,8.8,336 reviews
4154,Rental rooms Antonella,Tavullia,Family Room with Private Bathroom,"3 beds (2 singles, 1 extra-large double)",Very good,US$94,,8.3,180 reviews
4155,Estay Stampace,Cagliari,Double Room with Private Bathroom,1 double bed,Good,US$58,,7.4,28 reviews
4156,PALAZZO FULGHER,Cagliari,Triple Room,"2 beds (1 single, 1 large double)",Superb,US$91,,9.0,283 reviews
4157,la casa di Marco,Canosa di Puglia,Family Room with Private Bathroom,"2 beds (1 sofa bed, 1 large double)",Very good,US$59,,8.3,89 reviews
4158,Residenza CuordiVerona,"Verona Historical Centre, Verona",Double Room,1 large double bed,Fabulous,US$96,,8.8,356 reviews
4159,Casa vacanze alle Mura,Cividale del Friuli,Quadruple Room with Terrace,"2 beds (1 extra-large double, 1 bunk bed)",Exceptional,US$128,,9.6,162 reviews
4160,Alehouse,Sorrento,Deluxe Room,1 large double bed,Fabulous,US$75,,8.7,290 reviews
4161,Casa Le Piane,Strettura,Double Room with Private Bathroom,1 double bed,Very good,US$30,,8.0,24 reviews
4162,DOMY'S GUEST HOUSE,"Porta al Prato, Florence",Family Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 344.4feet²2 beds (1 double, 1 sofa bed)",Good,US$55,,7.4,372 reviews
4163,Domus Napoleone,"Central Station, Rome",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Good,US$115,,7.9,176 reviews
4164,Residenza Due Torri check in presso HOTEL CENTRALE Vicolo Cattani 7,"Piazza Maggiore, Bologna",Quadruple Room,Multiple bed types,Good,US$142,,7.8,400 reviews
4165,giardinidivale,Borgio Verezzi,Deluxe Room,1 large double bed,Fabulous,US$107,,8.6,61 reviews
4166,Casale De Santis,"Prenestino Labicano, Rome",Double Room,1 large double bed,Fabulous,US$69,,8.7,357 reviews
4167,Youroom Boncompagni,"Via Veneto, Rome",Superior King Room,1 extra-large double bed,Fabulous,US$129,,8.9,207 reviews
4168,Residenza Le 6 A,"Trieste City Centre, Trieste",Small Double Room,1 double bed,Fabulous,US$83,,8.8,653 reviews
4169,Serventi Longhi Rooms,"San Giovanni, Rome",Quadruple Room,"3 beds (2 singles, 1 large double)",Fabulous,US$123,,8.9,409 reviews
4170,Palazzo Panzani,"San Lorenzo, Florence",Standard Single Room with Shared Bathroom,1 single bed,Review score,US$37,Travel Sustainable Level 1,6.4,127 reviews
4171,La Bella Verona Ugolini,"Verona Historical Centre, Verona",Standard Double Room,1 large double bed,Superb,US$147,,9.0,362 reviews
4172,Aparthotel San Gregorio 45,"Stazione Centrale, Milan",Double Room with Private Bathroom,1 large double bed,Very good,US$128,,8.3,"1,337 reviews"
4173,Colonna 32,"Vaticano Prati, Rome",Superior Double Room,Beds: 1 double or 2 singles,Fabulous,US$227,,8.9,411 reviews
4174,Palco Noir!,"Castellammare Vucciria, Palermo",Deluxe Junior Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 366feet²2 beds (1 sofa bed, 1 large double)",Superb,US$183,Travel Sustainable Level 2,9.4,118 reviews
4175,Palermo Gallery,"Ruggero Settimo, Palermo",Double Room,1 extra-large double bed,Superb,US$103,,9.0,537 reviews
4176,DIMORA AL SARACENO,"Ferrara Old Town, Ferrara",Double Room with Private Bathroom,"2 beds (1 sofa bed, 1 large double)",Superb,US$64,Travel Sustainable Level 2,9.4,324 reviews
4177,Rental rooms Antonella,Tavullia,Triple Room with Private Bathroom,"2 beds (1 single, 1 large double)",Very good,US$94,Travel Sustainable Level 3,8.3,180 reviews
4178,LoryLu,Tropea,Deluxe Double or Twin Room,Multiple bed types,Fabulous,US$533,Travel Sustainable Level 1,8.9,121 reviews
4179,Estay Stampace,Cagliari,Double Room with Private Bathroom,1 double bed,Good,US$58,,7.4,28 reviews
4180,PALAZZO FULGHER,Cagliari,Triple Room,"2 beds (1 single, 1 large double)",Superb,US$91,,9.0,283 reviews
4181,LHG Comfy Rooms,"Via Veneto, Rome",Economy Double Room,1 large double bed,Good,US$94,Travel Sustainable Level 1,7.9,858 reviews
4182,la casa di Marco,Canosa di Puglia,Family Room with Private Bathroom,"2 beds (1 sofa bed, 1 large double)",Very good,US$59,,8.3,89 reviews
4183,Residenza CuordiVerona,"Verona Historical Centre, Verona",Double Room,1 large double bed,Fabulous,US$96,,8.8,356 reviews
4184,Casa vacanze alle Mura,Cividale del Friuli,Quadruple Room with Terrace,"2 beds (1 extra-large double, 1 bunk bed)",Exceptional,US$128,Travel Sustainable Level 1,9.6,162 reviews
4185,Alehouse,Sorrento,Deluxe Room,1 large double bed,Fabulous,US$75,,8.7,290 reviews
4186,L'Isola di Romy,"Bicocca - Zara, Milan",Double or Twin Room with Shared Bathroom,1 double bed,Good,US$106,,7.8,800 reviews
4187,Casa Le Piane,Strettura,Double Room with Private Bathroom,1 double bed,Very good,US$30,,8.0,24 reviews
4188,DOMY'S GUEST HOUSE,"Porta al Prato, Florence",Family Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 344.4feet²2 beds (1 double, 1 sofa bed)",Good,US$55,,7.4,372 reviews
4189,Domus Napoleone,"Central Station, Rome",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Good,US$115,,7.9,176 reviews
4190,Residenza Due Torri check in presso HOTEL CENTRALE Vicolo Cattani 7,"Piazza Maggiore, Bologna",Quadruple Room,Multiple bed types,Good,US$142,,7.8,400 reviews
4191,La casa di Minnanna,Cannigione,Junior Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 301.4feet²2 beds (1 sofa bed, 1 large double)",Superb,US$136,Travel Sustainable Level 1,9.4,313 reviews
4192,giardinidivale,Borgio Verezzi,Deluxe Room,1 large double bed,Fabulous,US$107,Travel Sustainable Level 1,8.6,61 reviews
4193,Youroom Boncompagni,"Via Veneto, Rome",Superior King Room,1 extra-large double bed,Fabulous,US$129,,8.9,207 reviews
4194,Residenza Le 6 A,"Trieste City Centre, Trieste",Small Double Room,1 double bed,Fabulous,US$83,Travel Sustainable Level 2,8.8,653 reviews
4195,Royal Palace Gate,San Nicola La Strada,Quadruple Room with Private Bathroom,"3 beds (2 singles, 1 large double)",Review score,US$36,,6.8,63 reviews
4196,Gattini33,Matera,Deluxe Room,1 large double bed,Superb,US$53,,9.0,338 reviews
4197,Guest House Service - Express Airport Apartment,Modugno,Comfort Triple Room,Multiple bed types,Good,US$58,Travel Sustainable Level 1,7.6,152 reviews
4198,The Boutique Napoli Suite,"Plebiscito, Naples",Deluxe Room,1 large double bed,Fabulous,US$75,,8.7,643 reviews
4199,Kleine,Gressoney-Saint-Jean,Quadruple Room with Private Bathroom,"2 beds (1 bunk bed, 1 large double)",Good,US$107,,7.7,191 reviews
4200,La Pergola,Vezzano Ligure,Single Room with Shared Bathroom,1 single bed,Very good,US$42,Travel Sustainable Level 1,8.1,493 reviews
4201,Ai Senatori,"Vaticano Prati, Rome",Deluxe Triple Room,"2 beds (1 sofa bed, 1 large double)",Very good,US$128,,8.2,135 reviews
4202,Il Carro Comfortable Rooms,San Giovanni Gemini,Twin Room with Balcony,2 single beds,Exceptional,US$59,,9.5,51 reviews
4203,Dimora San Gregorio Luxury Rooms,"Monte di Pietà, Palermo",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Exceptional,US$74,,10.0,4 reviews
4204,CAVOUR BARI CENTRO _ BRAND CITY LIFE _,"Bari City Centre, Bari",Standard Double Room with Shared Bathroom,1 large double bed,Review score,US$34,,6.5,161 reviews
4205,Guest House Foligno Porta Romana,Foligno,Two-Bedroom Apartment,Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 645.8feet²2 large double beds,Superb,US$96,,9.2,233 reviews
4206,La Rocca Guest House & Spa,Montefalco,Double Room,1 large double bed,Fabulous,US$91,Travel Sustainable Level 1,8.9,187 reviews
4207,Iceman Room's Central,"Old Town , Bolzano",Double Room with Shower,1 large double bed,Review score,US$73,,5.6,"1,521 reviews"
4208,Masseria D'Aprile,Castellaneta,Deluxe Double Room with Extra Bed,"3 beds (2 singles, 1 extra-large double)",Very good,US$64,,8.5,77 reviews
4209,Gregorio's Rooms,"Vaticano Prati, Rome",Double Room with Balcony,1 large double bed,Fabulous,US$97,Travel Sustainable Level 1,8.9,199 reviews
4210,Le Corti del Re,"Plebiscito, Naples",Double or Twin Room,Beds: 1 double or 2 singles,Very good,US$80,Travel Sustainable Level 2,8.5,"1,477 reviews"
4211,Last Minute Ferrara,Ferrara,Triple Room with Shared Bathroom,"2 beds (1 single, 1 large double)",Very good,US$44,,8.5,538 reviews
4212,Sweet Home Pigneto Guest House,"Prenestino Labicano, Rome",Budget Double Room,1 double bed,Exceptional,US$85,Travel Sustainable Level 1,9.5,401 reviews
4213,Casa Genna,Isola delle Femmine,Double Room,1 large double bed,Good,US$85,,7.8,64 reviews
4214,KyS Castello - City Centre,"Castello, Cagliari",Deluxe Double Room,1 large double bed,Very good,US$62,,8.1,111 reviews
4215,La Boqueria,Bra,Standard Apartment,"Entire apartment • 1 bedroom • 1 bathroom2 beds (1 sofa bed, 1 large double)",Very good,US$77,,8.1,168 reviews
4216,Guest house Regina Margherita,Favara,Deluxe Room,1 single bed,Fabulous,US$48,,8.7,109 reviews
4217,Epoca Home,Cosenza,Double Room with Balcony,1 large double bed,Superb,US$61,,9.3,349 reviews
4218,Casa Astarita,"Sorrento City Centre, Sorrento",Double Room,1 large double bed,Superb,US$88,,9.3,342 reviews
4219,Affittacamere Antonio e Francesca,Staggia,Deluxe Room,1 large double bed,Very good,US$43,,8.3,203 reviews
4220,Dimora Marinucci,Termoli,Triple Room with Private Bathroom,1 double bed,Superb,US$58,,9.4,385 reviews
4221,Al Sandalyon,Quartu SantʼElena,Double Room with Sea View,1 large double bed,Superb,US$63,,9.0,338 reviews
4222,Primo Room,"City Centre, Catania",Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 592feet²1 large double bed,Very good,US$91,,8.0,137 reviews
4223,"In centro da Laura, Via Repubblica 49 BI",Biella,Double Room with Private Bathroom,2 large double beds,Fabulous,US$55,,8.9,92 reviews
4224,Raxul Room,Sestu,Triple Room with Balcony,"2 beds (1 single, 1 large double)",Very good,US$77,,8.4,320 reviews
4225,Blunotte Potenza,Potenza,Double Room with Private Bathroom,1 large double bed,Fabulous,US$53,,8.9,272 reviews
4226,Anzolo Palace - Rooms & Apartments,"Castello, Venice",Studio with Canal View - Separate Building,"Entire studio • 1 bathroom • 1 kitchen • 430.6feet²2 beds (1 sofa bed, 1 large double)",Very good,US$119,,8.3,767 reviews
4227,Rental rooms Antonella,Tavullia,Triple Room with Private Bathroom,"2 beds (1 single, 1 large double)",Very good,US$94,Travel Sustainable Level 3,8.3,180 reviews
4228,Rome Vatican Inn,"Vaticano Prati, Rome",Double or Twin Room,Beds: 1 double or 2 singles,Good,US$182,,7.6,416 reviews
4229,Estay Stampace,Cagliari,Double Room with Private Bathroom,1 double bed,Good,US$58,,7.4,28 reviews
4230,LHG Comfy Rooms,"Via Veneto, Rome",Economy Double Room,1 large double bed,Good,US$94,Travel Sustainable Level 1,7.9,858 reviews
4231,la casa di Marco,Canosa di Puglia,Family Room with Private Bathroom,"2 beds (1 sofa bed, 1 large double)",Very good,US$59,,8.3,89 reviews
4232,Residenza CuordiVerona,"Verona Historical Centre, Verona",Double Room,1 large double bed,Fabulous,US$96,,8.8,356 reviews
4233,Affittacamere Vallesanta,Levanto,Double Room with Private Bathroom,1 large double bed,Superb,US$80,,9.3,241 reviews
4234,Casa vacanze alle Mura,Cividale del Friuli,Quadruple Room with Terrace,"2 beds (1 extra-large double, 1 bunk bed)",Exceptional,US$128,Travel Sustainable Level 1,9.6,162 reviews
4235,Alehouse,Sorrento,Deluxe Room,1 large double bed,Fabulous,US$75,,8.7,290 reviews
4236,L'Isola di Romy,"Bicocca - Zara, Milan",Double or Twin Room with Shared Bathroom,1 double bed,Good,US$106,,7.8,800 reviews
4237,SIGIS RESIDENCE Fiumicino,Fiumicino,Single Room,1 single bed,Fabulous,US$64,Travel Sustainable Level 2,8.7,379 reviews
4238,Casa Le Piane,Strettura,Double Room with Private Bathroom,1 double bed,Very good,US$30,,8.0,24 reviews
4239,Residenza Due Torri check in presso HOTEL CENTRALE Vicolo Cattani 7,"Piazza Maggiore, Bologna",Quadruple Room,Multiple bed types,Good,US$142,,7.8,400 reviews
4240,La casa di Minnanna,Cannigione,Junior Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 301.4feet²2 beds (1 sofa bed, 1 large double)",Superb,US$136,Travel Sustainable Level 1,9.4,313 reviews
4241,LA CASCINA DEL VIAGGIATORE,Pianola,Twin Room with Private Bathroom,2 single beds,Very good,US$55,Travel Sustainable Level 2,8.5,227 reviews
4242,giardinidivale,Borgio Verezzi,Deluxe Room,1 large double bed,Fabulous,US$107,Travel Sustainable Level 1,8.6,61 reviews
4243,Youroom Boncompagni,"Via Veneto, Rome",Superior King Room,1 extra-large double bed,Fabulous,US$129,,8.9,207 reviews
4244,Residenza Le 6 A,"Trieste City Centre, Trieste",Small Double Room,1 double bed,Fabulous,US$83,Travel Sustainable Level 2,8.8,653 reviews
4245,Serventi Longhi Rooms,"San Giovanni, Rome",Quadruple Room,"3 beds (2 singles, 1 large double)",Fabulous,US$123,,8.9,409 reviews
4246,Sopramoltivolti,"Albergaria, Palermo",Double or Twin Room with Private Bathroom,Multiple bed types,Fabulous,US$63,Travel Sustainable Level 1,8.8,198 reviews
4247,Be Italian Flat Piazza Bovio 22,"Port of Naples, Naples",Deluxe Double Room,"2 beds (1 single, 1 large double)",Fabulous,US$90,,8.8,317 reviews
4248,Luce,Lucca,King Room with Private Bathroom,"3 beds (2 singles, 1 extra-large double)",Superb,US$50,Travel Sustainable Level 1,9.0,515 reviews
4249,Voglia di Vino Locanda,Alba,Deluxe Double Room,1 extra-large double bed,Superb,US$107,Travel Sustainable Level 1,9.1,230 reviews
4250,Rozzano Humanitas Forum IEO,Rozzano,Twin Room with Shared Bathroom,2 single beds,Fabulous,US$69,,8.9,60 reviews
4251,Mamamia al Politeama,"Ruggero Settimo, Palermo",Double Room with Shared Bathroom,1 large double bed,Very good,US$37,,8.5,253 reviews
4252,The Colours Of Rome,"Vaticano Prati, Rome",Standard Double Room,1 large double bed,Fabulous,US$111,,8.8,453 reviews
4253,Affittacamere Residenza Montedoro,Norcia,Double Room with Mountain View,1 extra-large double bed,Exceptional,US$69,,9.5,81 reviews
4254,Dimorra Boutique Rooms,"Port of Naples, Naples",Standard Double Room,1 large double bed,Good,US$45,,7.8,395 reviews
4255,iRooms Central Station,"Rione Monti, Rome",Japanese-Style Triple Room,"2 beds (1 sofa bed, 1 large double)",Fabulous,US$123,,8.9,304 reviews
4256,Triquetra - Rooms for Rent,"Ferrara Old Town, Ferrara",Double Room with Private Bathroom,1 extra-large double bed,Superb,US$64,,9.4,333 reviews
4257,Affittacamere Alessia&Calliope,"Vaticano Prati, Rome",Economy Double Room,1 large double bed,Good,US$55,,7.9,230 reviews
4258,La Terrazza Sul Porto,Cagliari,Deluxe Room,"2 beds (1 single, 1 large double)",Very good,US$96,,8.4,398 reviews
4259,BARRILE'S,Olbia,Standard Double Room,1 large double bed,Fabulous,US$58,,8.6,356 reviews
4260,Magic Life,"Central Station, Rome",Double Room with Private Bathroom,1 large double bed,Good,US$69,,7.8,428 reviews
4261,Eighty Four Luxury Rooms,"Vaticano Prati, Rome",Double Room,1 large double bed,Fabulous,US$89,,8.9,289 reviews
4262,Napoli Cityscape,"Naples Historical Centre, Naples",Double Room,1 large double bed,Superb,,,9.4,142 reviews
4263,GB Vesuvius Napoli,"Central Station, Naples",King Room with Balcony,1 large double bed,Fabulous,US$77,,8.6,131 reviews
4264,La Terrazza Antica Dimora,Campobasso,Double or Twin Room,1 large double bed,Superb,US$59,,9.3,157 reviews
4265,Town House 57,"Vaticano Prati, Rome",Double Room,1 large double bed,Fabulous,US$101,,8.6,300 reviews
4266,San Marco Design Suites,"San Marco, Venice",Deluxe Single Room,1 single bed,Fabulous,US$141,,8.6,174 reviews
4267,Fior di Loto Sweetness,Cagliari,Double Room,1 large double bed,Very good,US$58,,8.3,362 reviews
4268,Pura Vida Iblea,"Ragusa Ibla, Ragusa",Double Room with Balcony,1 large double bed,Exceptional,US$66,,9.5,132 reviews
4269,Vomero House,"Vomero, Naples",Triple Room with Bathroom,Multiple bed types,Good,US$88,,7.8,148 reviews
4270,La Roccia Dell'Elefante,Castelsardo,Double Room with Balcony,1 large double bed,Superb,US$68,,9.0,348 reviews
4271,Luxury Venetian Rooms,"Castello, Venice",Double or Twin Room,1 large double bed,Superb,US$163,,9.2,"1,088 reviews"
4272,Guest House Pirelli Milano,"Stazione Centrale, Milan",Twin Room with Shared Bathroom,2 single beds,Review score,US$100,,6.9,"1,662 reviews"
4273,House Orlando,Sferracavallo,Standard Double Room,1 extra-large double bed,Very good,US$53,,8.0,144 reviews
4274,INDUSTRIAL CHIC HOUSE,Orvieto,Double Room,1 large double bed,Superb,US$82,,9.3,385 reviews
4275,Luxury Trastevere,"Trastevere, Rome",Standard Double Room,1 large double bed,Very good,US$171,,8.4,188 reviews
4276,Il Gallo Bianco,Cagliari,Twin Room,2 single beds,Fabulous,US$88,,8.7,273 reviews
4277,Rosa dei Venti,Provaglio d'Iseo,Double Room,1 large double bed,Fabulous,US$54,,8.7,158 reviews
4278,Rose Suite,"Central Station, Rome",Deluxe Double Room,1 large double bed,Very good,US$99,,8.5,257 reviews
4279,I Broletti del Garda,Pacengo di Lazise,Double Room,1 large double bed,Exceptional,US$106,,9.5,224 reviews
4280,Locanda Dell'Arte,Naples,Superior Double Room,1 large double bed,Good,US$67,,7.7,826 reviews
4281,Catania Over Time,"City Centre, Catania",Double Room with Private External Bathroom,1 large double bed,Superb,US$73,,9.4,118 reviews
4282,Locanda Il Porcellum,Bagno Vignoni,Double Room,1 large double bed,Fabulous,US$91,,8.6,326 reviews
4283,Golgi Suite,Pavia,Deluxe Double Room,1 large double bed,Fabulous,US$139,,8.8,497 reviews
4284,Al Seminario,Tivoli,"Double Room (Via Teobaldi, 2)",1 large double bed,Very good,US$64,,8.1,328 reviews
4285,Villa Mimosa au Lac - Estella Hotels Italia,Toscolano Maderno,Small Double Room,1 double bed,Fabulous,US$115,,8.7,276 reviews
4286,Casa Paradiso,Castronuovo di Sicilia,Triple Room with Balcony,3 single beds,Exceptional,US$37,,9.7,6 reviews
4287,Olga's House,"Uffizi, Florence",Single Room,1 single bed,Very good,US$67,,8.2,559 reviews
4288,Madonna de' Monti Suites - Daplace Collection,"Rione Monti, Rome",Deluxe Double Room,1 large double bed,Very good,US$138,,8.2,402 reviews
4289,Welcomely - Cocco e Dessi Home,Oristano,Double Room with Private External Bathroom,"2 beds (1 single, 1 large double)",Fabulous,US$43,,8.7,158 reviews
4290,DOMY'S GUEST HOUSE,"Porta al Prato, Florence",Family Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 344.4feet²2 beds (1 double, 1 sofa bed)",Good,US$55,,7.4,372 reviews
4291,Domus Napoleone,"Central Station, Rome",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Good,US$115,,7.9,176 reviews
4292,Residenza Due Torri check in presso HOTEL CENTRALE Vicolo Cattani 7,"Piazza Maggiore, Bologna",Quadruple Room,Multiple bed types,Good,US$142,,7.8,400 reviews
4293,giardinidivale,Borgio Verezzi,Deluxe Room,1 large double bed,Fabulous,US$107,,8.6,61 reviews
4294,Casale De Santis,"Prenestino Labicano, Rome",Double Room,1 large double bed,Fabulous,US$69,,8.7,357 reviews
4295,Youroom Boncompagni,"Via Veneto, Rome",Superior King Room,1 extra-large double bed,Fabulous,US$129,,8.9,207 reviews
4296,Residenza Le 6 A,"Trieste City Centre, Trieste",Small Double Room,1 double bed,Fabulous,US$83,,8.8,653 reviews
4297,Serventi Longhi Rooms,"San Giovanni, Rome",Quadruple Room,"3 beds (2 singles, 1 large double)",Fabulous,US$123,,8.9,409 reviews
4298,Sopramoltivolti,"Albergaria, Palermo",Double or Twin Room with Private Bathroom,Multiple bed types,Fabulous,US$63,,8.8,198 reviews
4299,Croisette,"Crocetta, Turin",Standard Single Room,1 single bed,Superb,US$48,,9.0,114 reviews
4300,Racconti di Mare - 5 Terre,La Spezia,Deluxe Double Room,Beds: 1 double or 2 singles,Superb,US$74,,9.1,374 reviews
4301,Be Italian Flat Piazza Bovio 22,"Port of Naples, Naples",Deluxe Double Room,"2 beds (1 single, 1 large double)",Fabulous,US$90,,8.8,317 reviews
4302,Luce,Lucca,King Room with Private Bathroom,"3 beds (2 singles, 1 extra-large double)",Superb,US$50,,9.0,515 reviews
4303,Rozzano Humanitas Forum IEO,Rozzano,Twin Room with Shared Bathroom,2 single beds,Fabulous,US$69,,8.9,60 reviews
4304,Mamamia al Politeama,"Ruggero Settimo, Palermo",Double Room with Shared Bathroom,1 large double bed,Very good,US$37,,8.5,253 reviews
4305,Dimorra Boutique Rooms,"Port of Naples, Naples",Standard Double Room,1 large double bed,Good,US$45,,7.8,395 reviews
4306,B&B Vivere Palermo,"Monte di Pietà, Palermo",Deluxe Room,1 large double bed,Fabulous,US$77,,8.9,204 reviews
4307,Villa Natalia Luxury Rooms,"Borgo Trento, Verona",Junior Suite,Private suite1 extra-large double bed,Superb,US$127,,9.2,299 reviews
4308,Pantheon Caesar Relais,"Pantheon, Rome",Double Room,Beds: 1 double or 2 singles,Very good,US$138,,8.0,449 reviews
4309,Gallery Suite Naples,"Central Station, Naples",Standard Double Room,1 large double bed,Superb,US$81,,9.3,776 reviews
4310,Palazzo Chiara,Cagliari,Double Room with Terrace,1 large double bed,Fabulous,US$43,,8.7,185 reviews
4311,Dimora del Mercante,"City Centre, Catania",Budget Double Room,1 double bed,Fabulous,US$64,,8.7,164 reviews
4312,Arcipelago 37,Cagliari,Deluxe Double Room with Balcony,1 extra-large double bed,Exceptional,US$107,,9.6,294 reviews
4313,Affittacamere Sette A,"Via Veneto, Rome",Double Room,1 double bed,Good,US$86,,7.5,310 reviews
4314,Napoliamo Guest House,"Naples Historical Centre, Naples",Double Room,1 large double bed,Superb,US$90,,9.4,613 reviews
4315,Arena Luxury Rooms,"Verona Historical Centre, Verona",Superior Double or Twin Room with Garden View,Beds: 1 double or 2 singles,Fabulous,US$148,,8.7,396 reviews
4316,Bed And Best,"Vaticano Prati, Rome",Economy Double Room,1 double bed,Superb,US$92,,9.4,160 reviews
4317,San Marco Design Suites,"San Marco, Venice",Deluxe Single Room,1 single bed,Fabulous,US$141,,8.6,174 reviews
4318,Au Coeur,Verrayes,Single Room,1 double bed,Superb,US$48,,9.2,84 reviews
4319,Mediceo 42,"Pisa City Centre, Pisa",Standard Double Room,1 large double bed,Superb,US$80,,9.3,321 reviews
4320,Vatican Luxury Home,"Vaticano Prati, Rome",Double Room,1 extra-large double bed,Very good,US$94,,8.1,290 reviews
4321,Casa Garibaldi,Pontremoli,Double Room,"2 beds (1 single, 1 large double)",Superb,US$58,,9.1,37 reviews
4322,Affittacamere Stelvio,Sondrio,Deluxe Double or Twin Room,2 single beds,Very good,US$48,,8.5,187 reviews
4323,Il Verrocchio,"San Marco - Santissima Annunziata, Florence",Double or Twin Room,Beds: 1 double or 2 singles,Good,US$49,,7.7,969 reviews
4324,Affittacamere Casa Quisquina,Santo Stefano Quisquina,Twin Room,2 single beds,Superb,US$53,,9.2,149 reviews
4325,Le Scale Sul Barocco,"Ragusa Ibla, Ragusa",Double Room with Terrace,1 large double bed,Very good,US$52,,8.5,452 reviews
4326,Dreaming in Rome - Vittorio Veneto Guest House,"Via Veneto, Rome",Triple Room,"2 beds (1 sofa bed, 1 large double)",Fabulous,US$83,,8.9,257 reviews
4327,LA CASCINA DEL VIAGGIATORE,Pianola,Twin Room with Bathroom,2 single beds,Very good,US$55,Travel Sustainable Level 2,8.5,227 reviews
4328,Pantheon Unique Rooms,"Pantheon, Rome",Deluxe Room,"2 beds (1 single, 1 large double)",Superb,US$181,Travel Sustainable Level 1,9.0,179 reviews
4329,B&B Al Centro Storico,Barletta,Double Room,1 large double bed,Fabulous,US$48,,8.8,250 reviews
4330,Dimora Tre Cancelli,Tricarico,Double Room,1 large double bed,Good,US$53,,7.6,94 reviews
4331,Babuccio Art Inn,"Trevi, Rome",Deluxe Double Room,1 extra-large double bed,Good,US$94,,7.3,102 reviews
4332,Suitedream Vatican,"Vaticano Prati, Rome",Double Room with Balcony,1 large double bed,Good,US$79,,7.9,45 reviews
4333,Villa Mezzacollina,Battifolle,Suite,"Private suite • 1 bedroom • 1 living room • 2 bathrooms • 861.1feet²2 beds (1 single, 1 large double)",Fabulous,US$86,,8.9,47 reviews
4334,Yes I Know My Room,"Naples Historical Centre, Naples",Double Room with Private Bathroom,1 large double bed,Superb,US$59,Travel Sustainable Level 1,9.1,27 reviews
4335,Residenza Ognissanti,"Santa Maria Novella, Florence",Quadruple Room,"2 beds (1 extra-large double, 1 sofa bed)",Very good,US$130,,8.4,562 reviews
4336,Arena House - Daplace Collection,"Colosseum, Rome",Double Room,1 double bed,Good,US$130,,7.8,761 reviews
4337,Il Casale Relais,San Giuliano Terme,Comfort Double Room,1 large double bed,Fabulous,US$91,,8.6,205 reviews
4338,Charme Rooms,Taranto,Deluxe Double or Twin Room,"2 beds (1 single, 1 extra-large double)",Very good,US$59,,8.3,281 reviews
4339,Ca' dei Proverbi Suites,"Cannaregio, Venice",Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 430.6feet²3 beds (2 sofa beds, 1 large double)",Superb,US$192,,9.3,426 reviews
